circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr20:10556231|10560820	chr20	10556231	10560820	3	1_1_2	10	0.375	exon	ENSG00000149346.14,	+	SRR3479243.23917347,SRR3479243.13845663,SRR3479243.22037610,
chr20:13528433|13569586	chr20	13528433	13569586	2	1_1_2	58	0.065	exon	ENSG00000089123.15,	-	SRR3479243.6626513,SRR3479243.4438279,
chr20:13528433|13600617	chr20	13528433	13600617	2	1_0_2	9	0.308	exon	ENSG00000089123.15,	-	SRR3479243.14200340,SRR3479243.7841318,
chr20:13559008|13587370	chr20	13559008	13587370	4	3_3_1	41	0.163	exon	ENSG00000089123.15,	-	SRR3479243.18023703,SRR3479243.23029682,SRR3479243.5055199,SRR3479243.6104394,
chr20:16370586|16381747	chr20	16370586	16381747	6	0_1_6	33	0.267	exon	ENSG00000089177.18,	-	SRR3479243.14042116,SRR3479243.16095718,SRR3479243.16124341,SRR3479243.21254342,SRR3479243.21643053,SRR3479243.26860925,
chr20:17947486|17957037	chr20	17947486	17957037	4	3_2_0	53	0.131	exon	ENSG00000089006.16,	-	SRR3479243.24347137,SRR3479243.19066603,SRR3479243.25535208,SRR3479243.17184362,
chr20:17952587|17954117	chr20	17952587	17954117	2	1_2_1	28	0.125	exon	ENSG00000089006.16,	-	SRR3479243.15989910,SRR3479243.17842366,
chr20:17955365|17957037	chr20	17955365	17957037	2	1_1_1	35	0.103	exon	ENSG00000089006.16,	-	SRR3479243.18380150,SRR3479243.3421234,
chr20:18297985|18306393	chr20	18297985	18306393	3	1_2_3	12	0.333	exon	ENSG00000125846.15,	+	SRR3479243.15757300,SRR3479243.20209955,SRR3479243.20249365,
chr20:21326279|21368590	chr20	21326279	21368590	2	2_2_0	316	0.013	exon	ENSG00000088930.7,	+	SRR3479243.20179196,SRR3479243.29955991,
chr20:21340721|21346550	chr20	21340721	21346550	2	2_2_0	194	0.020	exon	ENSG00000088930.7,	+	SRR3479243.18378261,SRR3479243.5740631,
chr20:21365421|21368590	chr20	21365421	21368590	7	1_3_5	387	0.035	exon	ENSG00000088930.7,	+	SRR3479243.17793640,SRR3479243.3391606,SRR3479243.5799233,SRR3479243.21847245,SRR3479243.23164066,SRR3479243.18956502,SRR3479243.3683340,
chr20:23389946|23403072	chr20	23389946	23403072	2	1_1_2	18	0.182	exon	ENSG00000125814.17,	-	SRR3479243.13398895,SRR3479243.9175641,
chr20:24543020|24543577	chr20	24543020	24543577	4	3_3_0	4	0.667	exon	ENSG00000101463.5,	+	SRR3479243.15022965,SRR3479243.8821208,SRR3479243.9674308,SRR3479243.5631117,
chr20:31527484|31528050	chr20	31527484	31528050	2	1_2_1	146	0.027	exon	ENSG00000101294.16,	+	SRR3479243.7937586,SRR3479243.29648134,
chr20:32366384|32369123	chr20	32366384	32369123	39	14_11_19	26	0.750	exon	ENSG00000171456.16,	+	SRR3479243.710563,SRR3479243.1583573,SRR3479243.1774136,SRR3479243.2768570,SRR3479243.13374742,SRR3479243.13555224,SRR3479243.14833330,SRR3479243.15896280,SRR3479243.16834593,SRR3479243.18060848,SRR3479243.22928173,SRR3479243.24480837,SRR3479243.6973691,SRR3479243.18870372,SRR3479243.21214542,SRR3479243.21229832,SRR3479243.21317017,SRR3479243.26745646,SRR3479243.26793209,SRR3479243.10038656,SRR3479243.10068126,SRR3479243.11000283,SRR3479243.11705895,SRR3479243.4028504,SRR3479243.4529228,SRR3479243.4937158,SRR3479243.5125450,SRR3479243.5248717,SRR3479243.5601905,SRR3479243.28385272,SRR3479243.28967280,SRR3479243.29489419,SRR3479243.30094634,SRR3479243.16927508,SRR3479243.23692336,SRR3479243.24333318,SRR3479243.6863554,SRR3479243.8849772,SRR3479243.10407942,
chr20:32366384|32371874	chr20	32366384	32371874	5	4_2_4	18	0.357	exon	ENSG00000171456.16,	+	SRR3479243.13503277,SRR3479243.14527112,SRR3479243.24508571,SRR3479243.27838822,SRR3479243.10691527,
chr20:33679755|33680416	chr20	33679755	33680416	2	2_1_1	112	0.034	exon	ENSG00000101412.12,	-	SRR3479243.26589674,SRR3479243.4933542,
chr20:34029769|34031604	chr20	34029769	34031604	2	2_1_1	357	0.011	intron	ENSG00000125970.11,	+	SRR3479243.7013603,SRR3479243.29103681,
chr20:34408651|34413879	chr20	34408651	34413879	3	3_2_0	201	0.029	exon	ENSG00000078747.13,	+	SRR3479243.6881184,SRR3479243.8108844,SRR3479243.18346324,
chr20:34470048|34481206	chr20	34470048	34481206	3	0_2_2	100	0.057	exon	ENSG00000078747.13,ENSG00000283472.1,	+	SRR3479243.144161,SRR3479243.22981462,SRR3479243.9329198,
chr20:34470048|34492597	chr20	34470048	34492597	5	0_4_4	180	0.053	exon	ENSG00000078747.13,ENSG00000283472.1,	+	SRR3479243.1389546,SRR3479243.1599027,SRR3479243.27259357,SRR3479243.3868632,SRR3479243.28275843,
chr20:34714590|34715365	chr20	34714590	34715365	2	2_2_0	13	0.235	exon	ENSG00000198646.13,	-	SRR3479243.3106714,SRR3479243.9986621,
chr20:34727259|34736758	chr20	34727259	34736758	3	3_2_1	30	0.167	exon	ENSG00000198646.13,	-	SRR3479243.17988840,SRR3479243.21781679,SRR3479243.19726669,
chr20:34782121|34792563	chr20	34782121	34792563	2	2_0_2	23	0.148	exon	ENSG00000198646.13,	-	SRR3479243.20707675,SRR3479243.10868710,
chr20:35366557|35384133	chr20	35366557	35384133	2	1_1_2	105	0.037	exon	ENSG00000101019.21,	-	SRR3479243.4518179,SRR3479243.31043804,
chr20:35653528|35659014	chr20	35653528	35659014	2	2_2_0	211	0.019	exon	ENSG00000214078.12,	-	SRR3479243.17667348,SRR3479243.30464651,
chr20:35713019|35725155	chr20	35713019	35725155	3	1_2_2	38	0.136	exon	ENSG00000131051.21,	-	SRR3479243.14193084,SRR3479243.11449675,SRR3479243.19087982,
chr20:35714185|35725155	chr20	35714185	35725155	4	3_2_2	70	0.103	exon	ENSG00000131051.21,	-	SRR3479243.18008577,SRR3479243.7648127,SRR3479243.24891566,SRR3479243.4675613,
chr20:35716740|35725155	chr20	35716740	35725155	8	1_6_0	32	0.333	exon	ENSG00000131051.21,	-	SRR3479243.6995599,SRR3479243.12530343,SRR3479243.15214539,SRR3479243.15954593,SRR3479243.6273365,SRR3479243.20493861,SRR3479243.25209511,SRR3479243.30240121,
chr20:35721740|35725155	chr20	35721740	35725155	7	6_5_1	76	0.156	exon	ENSG00000131051.21,	-	SRR3479243.18635360,SRR3479243.22561856,SRR3479243.23948609,SRR3479243.20713589,SRR3479243.5038900,SRR3479243.29740572,SRR3479243.30759114,
chr20:35721740|35732135	chr20	35721740	35732135	3	2_2_0	211	0.028	exon	ENSG00000131051.21,	-	SRR3479243.4149707,SRR3479243.2502468,SRR3479243.22308166,
chr20:35729312|35732135	chr20	35729312	35732135	10	2_7_6	173	0.104	exon	ENSG00000131051.21,	-	SRR3479243.263356,SRR3479243.21908481,SRR3479243.8342951,SRR3479243.18990594,SRR3479243.19454171,SRR3479243.4404636,SRR3479243.29876511,SRR3479243.15580889,SRR3479243.21629938,SRR3479243.29035499,
chr20:35801491|35858381	chr20	35801491	35858381	2	1_1_2	64	0.059	exon	ENSG00000025293.16,	+	SRR3479243.11485660,SRR3479243.28619182,
chr20:35858302|35871829	chr20	35858302	35871829	2	1_2_1	45	0.082	exon	ENSG00000025293.16,	+	SRR3479243.6473066,SRR3479243.10471271,
chr20:36660337|36671397	chr20	36660337	36671397	2	1_1_2	189	0.021	exon	ENSG00000101079.20,	-	SRR3479243.23273300,SRR3479243.30107409,
chr20:36781459|36781947	chr20	36781459	36781947	2	2_2_0	4	0.500	exon	ENSG00000149639.14,	-	SRR3479243.14656550,SRR3479243.28589732,
chr20:37035242|37040285	chr20	37035242	37040285	2	2_2_0	48	0.077	exon	ENSG00000080839.11,	-	SRR3479243.26796693,SRR3479243.3963384,
chr20:37056146|37065473	chr20	37056146	37065473	3	3_0_3	67	0.082	exon	ENSG00000080839.11,	-	SRR3479243.18057284,SRR3479243.26719631,SRR3479243.27656936,
chr20:37061103|37065473	chr20	37061103	37065473	4	3_0_4	70	0.103	exon	ENSG00000080839.11,	-	SRR3479243.14990874,SRR3479243.18383391,SRR3479243.5729729,SRR3479243.9002116,
chr20:37065424|37068186	chr20	37065424	37068186	11	2_7_3	105	0.173	exon	ENSG00000080839.11,	-	SRR3479243.16103953,SRR3479243.17370885,SRR3479243.25044319,SRR3479243.25393599,SRR3479243.26178582,SRR3479243.9720036,SRR3479243.5316738,SRR3479243.15803491,SRR3479243.17893559,SRR3479243.24252632,SRR3479243.30607116,
chr20:37066724|37068186	chr20	37066724	37068186	2	2_1_0	91	0.042	exon	ENSG00000080839.11,	-	SRR3479243.963765,SRR3479243.2064902,
chr20:37184180|37184373	chr20	37184180	37184373	6	4_4_0	363	0.032	exon	ENSG00000118705.16,	+	SRR3479243.1907182,SRR3479243.17225621,SRR3479243.7389876,SRR3479243.7393618,SRR3479243.9373136,SRR3479243.3271421,
chr20:38057532|38066256	chr20	38057532	38066256	9	5_9_2	66	0.214	exon	ENSG00000101413.11,	+	SRR3479243.12519369,SRR3479243.16683780,SRR3479243.6996525,SRR3479243.25696255,SRR3479243.11004050,SRR3479243.11580933,SRR3479243.3728056,SRR3479243.24815425,SRR3479243.25086302,
chr20:38065803|38066256	chr20	38065803	38066256	3	1_2_1	56	0.097	intron	ENSG00000101413.11,	+	SRR3479243.20087173,SRR3479243.20611076,SRR3479243.30150009,
chr20:38983699|38994880	chr20	38983699	38994880	4	2_1_4	48	0.143	exon	ENSG00000101452.14,	+	SRR3479243.23152786,SRR3479243.24662939,SRR3479243.7393656,SRR3479243.925101,
chr20:41092472|41101353	chr20	41092472	41101353	6	3_3_0	110	0.098	exon	ENSG00000198900.5,	+	SRR3479243.3053017,SRR3479243.15292149,SRR3479243.16784319,SRR3479243.18827553,SRR3479243.26152663,SRR3479243.28646880,
chr20:41512846|41551360	chr20	41512846	41551360	2	1_0_2	36	0.100	exon	ENSG00000124177.14,	-	SRR3479243.6529002,SRR3479243.19484476,
chr20:41533050|41551360	chr20	41533050	41551360	8	6_4_3	58	0.216	exon	ENSG00000124177.14,	-	SRR3479243.1004259,SRR3479243.15616890,SRR3479243.16669270,SRR3479243.24651094,SRR3479243.20735539,SRR3479243.21722834,SRR3479243.3827361,SRR3479243.16725143,
chr20:44916756|44919277	chr20	44916756	44919277	2	1_1_1	14	0.222	exon	ENSG00000101104.12,	+	SRR3479243.16014273,SRR3479243.5693398,
chr20:45815541|45815913	chr20	45815541	45815913	2	2_0_2	217	0.018	exon	ENSG00000175063.16,	+	SRR3479243.13371871,SRR3479243.20733979,
chr20:47220258|47221474	chr20	47220258	47221474	2	0_2_1	81	0.047	exon	ENSG00000101040.19,	-	SRR3479243.24341447,SRR3479243.8804054,
chr20:47221314|47229806	chr20	47221314	47229806	2	2_1_0	55	0.068	exon	ENSG00000101040.19,	-	SRR3479243.29688547,SRR3479243.20438536,
chr20:47262288|47276795	chr20	47262288	47276795	3	3_3_0	42	0.125	exon	ENSG00000101040.19,	-	SRR3479243.23647298,SRR3479243.8093821,SRR3479243.8891083,
chr20:47623911|47633636	chr20	47623911	47633636	2	2_2_0	32	0.111	exon	ENSG00000124151.18,	+	SRR3479243.17600449,SRR3479243.30312505,
chr20:48952705|48963898	chr20	48952705	48963898	4	4_3_1	47	0.145	exon	ENSG00000124198.8,	+	SRR3479243.24044951,SRR3479243.10112253,SRR3479243.4079837,SRR3479243.4743475,
chr20:48953556|48963898	chr20	48953556	48963898	11	8_5_4	47	0.319	exon	ENSG00000124198.8,	+	SRR3479243.12793652,SRR3479243.18098110,SRR3479243.7067514,SRR3479243.7151658,SRR3479243.18795882,SRR3479243.19244998,SRR3479243.26681354,SRR3479243.29146695,SRR3479243.762193,SRR3479243.18174182,SRR3479243.26647192,
chr20:48953556|48969277	chr20	48953556	48969277	2	1_1_1	68	0.056	exon	ENSG00000124198.8,	+	SRR3479243.19242123,SRR3479243.10386889,
chr20:48953556|48976199	chr20	48953556	48976199	2	2_2_0	56	0.067	exon	ENSG00000124198.8,	+	SRR3479243.2751663,SRR3479243.13701234,
chr20:49066192|49070297	chr20	49066192	49070297	3	2_1_3	620	0.010	exon	ENSG00000124207.16,	+	SRR3479243.13170712,SRR3479243.27057077,SRR3479243.3825796,
chr20:49090742|49094963	chr20	49090742	49094963	4	3_4_1	505	0.016	exon	ENSG00000124207.16,	+	SRR3479243.17370412,SRR3479243.20690716,SRR3479243.9491473,SRR3479243.29747205,
chr20:49092046|49094963	chr20	49092046	49094963	4	3_3_0	872	0.009	exon	ENSG00000124207.16,	+	SRR3479243.14713706,SRR3479243.27276113,SRR3479243.5865235,SRR3479243.30579444,
chr20:49135833|49174269	chr20	49135833	49174269	2	2_0_1	194	0.020	exon	ENSG00000124214.19,	-	SRR3479243.12429667,SRR3479243.21533187,
chr20:49269942|49271750	chr20	49269942	49271750	2	2_2_0	54	0.069	exon	ENSG00000124201.14,	-	SRR3479243.22120074,SRR3479243.28703272,
chr20:50902017|50918781	chr20	50902017	50918781	2	2_2_0	61	0.062	intron	ENSG00000101126.15,	-	SRR3479243.16259737,SRR3479243.5985352,
chr20:56381433|56384324	chr20	56381433	56384324	5	5_0_1	56	0.152	exon	ENSG00000087586.17,	-	SRR3479243.24548085,SRR3479243.1901498,SRR3479243.26759448,SRR3479243.11647468,SRR3479243.5390075,
chr20:56381433|56386533	chr20	56381433	56386533	7	6_6_1	160	0.080	exon	ENSG00000087586.17,	-	SRR3479243.2049487,SRR3479243.13026097,SRR3479243.14587115,SRR3479243.14734616,SRR3479243.19982772,SRR3479243.20384289,SRR3479243.27933079,
chr20:57170641|57183919	chr20	57170641	57183919	2	2_2_0	75	0.051	exon	ENSG00000101144.12,	-	SRR3479243.13527566,SRR3479243.8717148,
chr20:58438945|58441083	chr20	58438945	58441083	52	9_18_10	220	0.321	exon	ENSG00000124164.15,	+	SRR3479243.431388,SRR3479243.1146569,SRR3479243.13596555,SRR3479243.18340011,SRR3479243.24076530,SRR3479243.24452907,SRR3479243.24846384,SRR3479243.6246968,SRR3479243.7282908,SRR3479243.18757969,SRR3479243.19914935,SRR3479243.26205576,SRR3479243.10012585,SRR3479243.11448501,SRR3479243.4909672,SRR3479243.5653997,SRR3479243.28401780,SRR3479243.28501998,SRR3479243.133090,SRR3479243.2133855,SRR3479243.2321580,SRR3479243.2345410,SRR3479243.2729720,SRR3479243.2847117,SRR3479243.13040516,SRR3479243.13409264,SRR3479243.13437892,SRR3479243.13760100,SRR3479243.14580623,SRR3479243.15517430,SRR3479243.16212453,SRR3479243.16965600,SRR3479243.17003232,SRR3479243.22883162,SRR3479243.24628743,SRR3479243.24643966,SRR3479243.24787029,SRR3479243.7522540,SRR3479243.24861122,SRR3479243.25582565,SRR3479243.25597733,SRR3479243.25903738,SRR3479243.26166476,SRR3479243.10225892,SRR3479243.11314173,SRR3479243.12228654,SRR3479243.5223025,SRR3479243.28115954,SRR3479243.28209805,SRR3479243.28336790,SRR3479243.28416919,SRR3479243.29797261,
chr20:58667490|58673711	chr20	58667490	58673711	5	4_3_3	113	0.081	exon	ENSG00000254995.4,ENSG00000124222.22,	+	SRR3479243.12751491,SRR3479243.15662222,SRR3479243.6682602,SRR3479243.26433343,SRR3479243.4221068,
chr20:60180050|60180913	chr20	60180050	60180913	3	3_0_2	3	0.667	intron	ENSG00000228340.5,	+	SRR3479243.21155108,SRR3479243.5474177,SRR3479243.13223219,
chr20:62124617|62131506	chr20	62124617	62131506	3	2_1_0	65	0.085	exon	ENSG00000149657.19,	+	SRR3479243.426932,SRR3479243.18148037,SRR3479243.11146194,
chr20:62139075|62140944	chr20	62139075	62140944	5	5_5_0	267	0.036	exon	ENSG00000101182.14,	-	SRR3479243.2749869,SRR3479243.13950129,SRR3479243.7095401,SRR3479243.4784445,SRR3479243.31046321,
chr20:62256057|62263691	chr20	62256057	62263691	3	3_2_1	134	0.043	exon	ENSG00000130703.15,	+	SRR3479243.1537341,SRR3479243.4648550,SRR3479243.6108347,
chr20:62854016|62860308	chr20	62854016	62860308	3	2_2_0	138	0.042	exon	ENSG00000101190.12,	-	SRR3479243.2435715,SRR3479243.18737821,SRR3479243.27761006,
chr20:62857395|62859526	chr20	62857395	62859526	3	3_1_0	88	0.064	exon	ENSG00000101190.12,	-	SRR3479243.9390759,SRR3479243.15646209,SRR3479243.18692729,
chr20:62905887|62914406	chr20	62905887	62914406	3	1_2_0	111	0.051	exon	ENSG00000101191.16,	-	SRR3479243.12052145,SRR3479243.28175233,SRR3479243.27844166,
chr20:63202287|63203807	chr20	63202287	63203807	3	3_3_0	173	0.034	exon	ENSG00000149658.17,	-	SRR3479243.22095855,SRR3479243.19699368,SRR3479243.28010020,
chr20:63775678|63790790	chr20	63775678	63790790	6	5_6_0	5	0.706	exon	ENSG00000130584.10,	-	SRR3479243.15342873,SRR3479243.15674941,SRR3479243.17661319,SRR3479243.25882675,SRR3479243.4863466,SRR3479243.28620300,
chr20:63928335|63931022	chr20	63928335	63931022	10	5_5_4	88	0.185	exon	ENSG00000101152.10,	+	SRR3479243.117108,SRR3479243.8802801,SRR3479243.3926401,SRR3479243.4540047,SRR3479243.30311854,SRR3479243.30646857,SRR3479243.17753930,SRR3479243.21838762,SRR3479243.22030651,SRR3479243.23570968,
chr21:14853274|14857708	chr21	14853274	14857708	2	1_2_1	0	1	exon	ENSG00000281903.2,	-	SRR3479243.7080490,SRR3479243.11388704,
chr21:15011170|15014466	chr21	15011170	15014466	2	1_1_1	25	0.138	intron	ENSG00000180530.10,	-	SRR3479243.2845890,SRR3479243.27944676,
chr21:15014344|15043574	chr21	15014344	15043574	5	4_4_2	35	0.222	exon	ENSG00000180530.10,	-	SRR3479243.844471,SRR3479243.22478885,SRR3479243.8353955,SRR3479243.28194250,SRR3479243.28264524,
chr21:15762891|15766141	chr21	15762891	15766141	73	13_24_9	100	0.593	exon	ENSG00000155313.15,	+	SRR3479243.2383020,SRR3479243.13932192,SRR3479243.14759815,SRR3479243.14801463,SRR3479243.15151614,SRR3479243.15357642,SRR3479243.22774705,SRR3479243.22985563,SRR3479243.23632596,SRR3479243.24169413,SRR3479243.24612904,SRR3479243.6569816,SRR3479243.7316431,SRR3479243.8403276,SRR3479243.8443901,SRR3479243.19243010,SRR3479243.19504218,SRR3479243.26487560,SRR3479243.27547727,SRR3479243.27920592,SRR3479243.10006308,SRR3479243.10318852,SRR3479243.11503084,SRR3479243.11901402,SRR3479243.4450788,SRR3479243.6000616,SRR3479243.28573049,SRR3479243.223636,SRR3479243.257599,SRR3479243.1421230,SRR3479243.1480025,SRR3479243.2031608,SRR3479243.2577151,SRR3479243.2731631,SRR3479243.2809200,SRR3479243.12570741,SRR3479243.15888209,SRR3479243.16374682,SRR3479243.16959083,SRR3479243.18252093,SRR3479243.18333172,SRR3479243.21765283,SRR3479243.22099072,SRR3479243.23006074,SRR3479243.6824837,SRR3479243.7541167,SRR3479243.7710913,SRR3479243.7923297,SRR3479243.8037093,SRR3479243.8187176,SRR3479243.8780773,SRR3479243.19425561,SRR3479243.19491738,SRR3479243.21331070,SRR3479243.21710851,SRR3479243.25173976,SRR3479243.9734662,SRR3479243.10462788,SRR3479243.10624193,SRR3479243.10765357,SRR3479243.11050932,SRR3479243.11450839,SRR3479243.12377047,SRR3479243.3208036,SRR3479243.3815077,SRR3479243.3832366,SRR3479243.3962951,SRR3479243.4201422,SRR3479243.5267642,SRR3479243.28359838,SRR3479243.28530715,SRR3479243.29282300,SRR3479243.29704187,
chr21:15762891|15778027	chr21	15762891	15778027	2	2_2_0	93	0.041	exon	ENSG00000155313.15,	+	SRR3479243.1537273,SRR3479243.21567993,
chr21:15762891|15791664	chr21	15762891	15791664	3	0_3_3	39	0.133	exon	ENSG00000155313.15,	+	SRR3479243.13138598,SRR3479243.10134609,SRR3479243.4078072,
chr21:15777904|15833548	chr21	15777904	15833548	2	1_2_1	217	0.018	exon	ENSG00000155313.15,	+	SRR3479243.21460233,SRR3479243.9688019,
chr21:15833348|15842540	chr21	15833348	15842540	18	17_16_0	290	0.110	exon	ENSG00000155313.15,	+	SRR3479243.2242814,SRR3479243.2628601,SRR3479243.2737517,SRR3479243.2808030,SRR3479243.13304825,SRR3479243.22070602,SRR3479243.22829486,SRR3479243.24649724,SRR3479243.20271190,SRR3479243.21145753,SRR3479243.25422630,SRR3479243.25725290,SRR3479243.12228181,SRR3479243.3902104,SRR3479243.4310057,SRR3479243.28722493,SRR3479243.31056641,SRR3479243.13688000,
chr21:15864268|15874526	chr21	15864268	15874526	4	4_3_1	242	0.032	exon	ENSG00000155313.15,	+	SRR3479243.741701,SRR3479243.6575006,SRR3479243.25728926,SRR3479243.3587018,
chr21:25975070|26000182	chr21	25975070	26000182	2	2_2_0	590	0.007	exon	ENSG00000142192.20,	-	SRR3479243.10273733,SRR3479243.29345347,
chr21:29321221|29329693	chr21	29321221	29329693	20	9_8_0	33	0.548	exon	ENSG00000156273.15,	+	SRR3479243.13746335,SRR3479243.15167485,SRR3479243.16638037,SRR3479243.22542786,SRR3479243.6758254,SRR3479243.7632983,SRR3479243.8205582,SRR3479243.8518241,SRR3479243.19177942,SRR3479243.19722958,SRR3479243.21122828,SRR3479243.25203082,SRR3479243.27101186,SRR3479243.3321138,SRR3479243.4154298,SRR3479243.5454640,SRR3479243.5623021,SRR3479243.6080220,SRR3479243.28607239,SRR3479243.11630314,
chr21:29326059|29329693	chr21	29326059	29329693	6	6_4_0	59	0.169	exon	ENSG00000156273.15,	+	SRR3479243.18627490,SRR3479243.24302831,SRR3479243.4941825,SRR3479243.5504234,SRR3479243.19641530,SRR3479243.10033397,
chr21:31164962|31203012	chr21	31164962	31203012	5	3_2_3	57	0.149	exon	ENSG00000156299.13,	-	SRR3479243.2607328,SRR3479243.13340964,SRR3479243.17605928,SRR3479243.18064013,SRR3479243.30819122,
chr21:31182421|31195305	chr21	31182421	31195305	3	3_2_1	46	0.115	exon	ENSG00000156299.13,	-	SRR3479243.15290592,SRR3479243.15486249,SRR3479243.17279757,
chr21:31182421|31203012	chr21	31182421	31203012	6	3_3_0	67	0.152	exon	ENSG00000156299.13,	-	SRR3479243.1973433,SRR3479243.14585221,SRR3479243.16783007,SRR3479243.6537673,SRR3479243.7943980,SRR3479243.9315194,
chr21:31245488|31252189	chr21	31245488	31252189	2	2_2_0	55	0.068	exon	ENSG00000156299.13,	-	SRR3479243.2916906,SRR3479243.21648056,
chr21:32378445|32384464	chr21	32378445	32384464	3	0_3_2	58	0.094	exon	ENSG00000142207.6,	-	SRR3479243.22152292,SRR3479243.30776995,SRR3479243.7222311,
chr21:32694228|32695282	chr21	32694228	32695282	2	0_2_1	29	0.121	exon	ENSG00000159082.17,	-	SRR3479243.23444175,SRR3479243.15495971,
chr21:33524769|33539356	chr21	33524769	33539356	2	1_2_0	698	0.006	exon	ENSG00000159131.16,	-	SRR3479243.16403646,SRR3479243.24751337,
chr21:33534579|33539356	chr21	33534579	33539356	3	3_3_0	1031	0.006	exon	ENSG00000159131.16,	-	SRR3479243.2266101,SRR3479243.2340162,SRR3479243.16892533,
chr21:33579350|33583666	chr21	33579350	33583666	2	2_2_0	158	0.025	exon	ENSG00000159147.17,	-	SRR3479243.13077823,SRR3479243.7831388,
chr21:34125341|34142707	chr21	34125341	34142707	2	2_2_0	91	0.042	exon	ENSG00000243927.5,	+	SRR3479243.25133474,SRR3479243.29986213,
chr21:36247517|36248568	chr21	36247517	36248568	5	3_3_1	14	0.417	exon	ENSG00000142197.12,	+	SRR3479243.15468255,SRR3479243.24013053,SRR3479243.25087038,SRR3479243.29184769,SRR3479243.17102482,
chr21:36338779|36344707	chr21	36338779	36344707	23	17_15_3	104	0.307	exon	ENSG00000159256.12,	+	SRR3479243.846173,SRR3479243.1307921,SRR3479243.1865808,SRR3479243.2305435,SRR3479243.14132684,SRR3479243.14196621,SRR3479243.16012112,SRR3479243.21868531,SRR3479243.24450613,SRR3479243.20438771,SRR3479243.26350145,SRR3479243.27381717,SRR3479243.11284785,SRR3479243.3135887,SRR3479243.3385954,SRR3479243.28790977,SRR3479243.28906886,SRR3479243.28950306,SRR3479243.30028628,SRR3479243.193638,SRR3479243.24308361,SRR3479243.20966423,SRR3479243.27689345,
chr21:36387598|36402851	chr21	36387598	36402851	2	2_2_0	303	0.013	exon	ENSG00000159259.7,	+	SRR3479243.6756135,SRR3479243.25478804,
chr21:36391551|36394650	chr21	36391551	36394650	2	2_2_0	358	0.011	exon	ENSG00000159259.7,	+	SRR3479243.14675336,SRR3479243.26866567,
chr21:36391551|36399605	chr21	36391551	36399605	2	2_1_1	352	0.011	exon	ENSG00000159259.7,	+	SRR3479243.13237953,SRR3479243.11052920,
chr21:36391551|36402851	chr21	36391551	36402851	2	2_0_2	370	0.011	exon	ENSG00000159259.7,	+	SRR3479243.12329813,SRR3479243.5439577,
chr21:36402758|36411604	chr21	36402758	36411604	3	2_2_0	157	0.037	exon	ENSG00000159259.7,	+	SRR3479243.14505417,SRR3479243.22032867,SRR3479243.28120386,
chr21:37108392|37140673	chr21	37108392	37140673	2	0_1_2	7	0.364	exon	ENSG00000182670.13,	+	SRR3479243.22543822,SRR3479243.21255592,
chr21:37187049|37196036	chr21	37187049	37196036	2	2_2_0	103	0.037	exon	ENSG00000182670.13,	+	SRR3479243.23943976,SRR3479243.5397569,
chr21:37420299|37421866	chr21	37420299	37421866	9	6_2_6	43	0.295	intron	ENSG00000157540.19,	+	SRR3479243.2863850,SRR3479243.18375209,SRR3479243.21918783,SRR3479243.23237189,SRR3479243.9264584,SRR3479243.21064899,SRR3479243.26143337,SRR3479243.26736712,SRR3479243.10883767,
chr21:37420299|37425781	chr21	37420299	37425781	2	2_0_2	43	0.085	intron	ENSG00000157540.19,	+	SRR3479243.12888887,SRR3479243.8916985,
chr21:37420299|37427401	chr21	37420299	37427401	2	2_0_2	33	0.108	intron	ENSG00000157540.19,	+	SRR3479243.7069870,SRR3479243.26987115,
chr21:37420299|37428908	chr21	37420299	37428908	2	2_0_2	42	0.087	intron	ENSG00000157540.19,	+	SRR3479243.12474966,SRR3479243.21315331,
chr21:37420299|37430400	chr21	37420299	37430400	20	9_10_1	44	0.476	exon	ENSG00000157540.19,	+	SRR3479243.496645,SRR3479243.14936271,SRR3479243.15680478,SRR3479243.17433855,SRR3479243.17447258,SRR3479243.23564858,SRR3479243.23922389,SRR3479243.24253329,SRR3479243.20632110,SRR3479243.21529871,SRR3479243.25505874,SRR3479243.26179222,SRR3479243.12402404,SRR3479243.5062423,SRR3479243.5539069,SRR3479243.5763826,SRR3479243.5930664,SRR3479243.28925027,SRR3479243.29059601,SRR3479243.29835482,
chr21:37420299|37472880	chr21	37420299	37472880	21	11_12_1	75	0.359	exon	ENSG00000157540.19,	+	SRR3479243.241285,SRR3479243.15031242,SRR3479243.16322105,SRR3479243.16738283,SRR3479243.17494708,SRR3479243.17522233,SRR3479243.18034234,SRR3479243.23825408,SRR3479243.24076895,SRR3479243.24088562,SRR3479243.24594221,SRR3479243.7348307,SRR3479243.9237107,SRR3479243.18894743,SRR3479243.19089427,SRR3479243.20475813,SRR3479243.27517148,SRR3479243.10862156,SRR3479243.3257177,SRR3479243.4002632,SRR3479243.4993862,
chr21:37420299|37480826	chr21	37420299	37480826	2	2_2_0	69	0.055	exon	ENSG00000157540.19,	+	SRR3479243.22977522,SRR3479243.24146244,
